voltage,current
-0.145084053,-3.091366E-5
-0.140088812,-3.052764E-5
-0.135089099,-3.013456E-5
-0.130087554,-2.973834E-5
-0.125080839,-2.933331E-5
-0.120082006,-2.892263E-5
-0.115086824,-2.850099E-5
-0.110094488,-2.807075E-5
-0.105087474,-2.762161E-5
-0.100081414,-2.71555E-5
-0.095078431,-2.667227E-5
-0.090082385,-2.616711E-5
-0.08508686,-2.563015E-5
-0.080088884,-2.50591E-5
-0.075085722,-2.445015E-5
-0.070079297,-2.379422E-5
-0.065077282,-2.308115E-5
-0.060080759,-2.229978E-5
-0.055089716,-2.14424E-5
-0.050087191,-2.04922E-5
-0.045080367,-1.942922E-5
-0.040074464,-1.823384E-5
-0.035077471,-1.688568E-5
-0.030081606,-1.535519E-5
-0.025084646,-1.360794E-5
-0.020082906,-1.160526E-5
-0.015095023,-9.30442E-6
-0.010085187,-6.64856E-6
-0.005080278,-3.58606E-6
-8.0871E-5,-4.234E-8
0.005061801,4.15761E-6
0.010068445,8.90342E-6
0.015052816,1.437376E-5
0.02006156,2.069625E-5
0.025068941,2.797419E-5
0.030065279,3.632066E-5
0.035063449,4.588121E-5
0.040059552,5.678879E-5
0.045068368,6.923636E-5
0.050077561,8.334608E-5
0.055082414,9.927202E-5
0.060061246,1.1713981E-4
0.065054417,1.3712794E-4
0.070055023,1.5946206E-4
0.075059004,1.8426003E-4
0.080065899,2.1168603E-4
0.085067101,2.4171844E-4
0.090059519,2.7434258E-4
0.095057793,3.0985307E-4
0.100059234,3.4850448E-4
0.105066858,3.9007969E-4
0.110074915,4.3464009E-4
0.115069918,4.8162743E-4
0.120066725,5.3159747E-4
0.125061691,5.8473494E-4
0.130069524,6.4028136E-4
0.135077044,6.9845594E-4
0.140077576,7.5889543E-4
0.145075619,8.219073E-4
0.15006794,8.872968E-4
0.155069783,9.550444E-4
0.160074949,0.00102482252
0.165035322,0.00109465621
0.170034304,0.00116863757
0.175026521,0.00124464795
0.180021465,0.00132241949
0.185022369,0.00140203834
0.190028995,0.00148370162
0.195035934,0.00156684667
0.200028405,0.00165204555
0.205023915,0.00173926994
0.210017711,0.00182822317
0.214995295,0.00191838637
